kreisnr;kreisname;bundesland;einwohner;junge;alte;einkommen;wahlberechtigte;waehler;ungueltige;gueltige;Union;SPD;Gruene;Linke;AFD;FDP;DIEM25;Volt
5358;Düren;Nordrhein-Westfalen;262900;19.8;28;20526;199697;120596;1323;119273;38646;23922;20432;4248;11541;8474;219;670
5362;Rhein-Erft-Kreis;Nordrhein-Westfalen;467200;18.6;27.8;21815;346326;221108;1921;219187;62997;43715;46003;7561;20340;16994;537;1457
5366;Euskirchen;Nordrhein-Westfalen;192100;18.4;28.5;20938;151478;92856;910;91946;31063;15100;16910;3100;8877;7808;184;424
5370;Heinsberg;Nordrhein-Westfalen;253100;19;27.6;19448;191076;112624;1250;111374;39869;18552;21245;4098;9358;7147;162;642
5374;Oberbergischer Kreis;Nordrhein-Westfalen;273000;19.1;27.9;22691;207897;126632;1246;125386;39757;21981;26025;4498;11581;8770;236;657
5378;Rheinisch-Bergischer Kreis;Nordrhein-Westfalen;283300;17;29.7;25295;218106;148415;954;147461;44229;24012;38570;5015;10646;11647;422;1031
5382;Rhein-Sieg-Kreis;Nordrhein-Westfalen;599100;18.5;27.7;22975;455483;300312;2297;298015;89675;48388;72122;10665;24212;22440;818;2141
5512;Bottrop, Stadt;Nordrhein-Westfalen;117400;19;29.4;19674;87999;52298;495;51803;12582;12867;8968;2138;6387;3021;85;227
5513;Gelsenkirchen, Stadt;Nordrhein-Westfalen;260300;20.9;27.2;16203;172667;88520;873;87647;17200;22498;13697;4025;14398;4573;103;349
5515;Münster, Stadt;Nordrhein-Westfalen;313600;30.6;22.3;22261;234502;172735;675;172060;41986;24719;62955;8565;6883;9791;833;2360
5554;Borken;Nordrhein-Westfalen;369700;20.4;25;21531;278983;181490;1049;180441;74957;29100;37232;4563;9776;12300;258;699
5558;Coesfeld;Nordrhein-Westfalen;219400;18.5;27.3;23009;173128;120067;660;119407;45668;18389;28811;3401;6513;7871;182;527
5562;Recklinghausen;Nordrhein-Westfalen;616800;18.4;29.8;19860;469803;274127;2376;271751;69706;64106;50554;10973;31142;15959;495;1151
5566;Steinfurt;Nordrhein-Westfalen;446600;19.7;25.9;21330;340621;221236;1405;219831;75682;43333;51258;7499;12331;13250;301;928
5570;Warendorf;Nordrhein-Westfalen;277500;18.8;27.5;22576;209212;136095;1068;135027;48013;23999;29821;4372;9035;8986;200;508
5711;Bielefeld, Stadt;Nordrhein-Westfalen;332600;23.6;25.8;22659;237243;151359;1115;150244;32603;28270;42289;9851;11498;8254;644;1175
5754;Gütersloh;Nordrhein-Westfalen;363000;20.3;25.5;24271;263292;164193;1197;162996;52419;27534;39536;5613;12505;10355;249;760
5758;Herford;Nordrhein-Westfalen;251500;18.8;28.5;22062;191048;113252;886;112366;29137;25712;24221;4512;11154;6460;169;481
5762;Höxter;Nordrhein-Westfalen;141600;18.5;29.4;21148;111469;69376;603;68773;27446;11332;11659;2174;5650;4449;75;244
